,name,M_total_count,M_total_count_likes,recommend_all,MSK,SPB,KRD,KZN,BASHK,NVSB,SAMARA,Vk,Fb,Tw,Yt,Inst
2028,Angemi,228 984,4,101,51177,19855,9778,3640,3097,4670,2692,False,False,False,False,False
2029,vibessmusic,77 050,48,64,19750,8644,3846,1549,1116,1608,1113,False,False,False,False,False
2030,Vika Jigulina,145 196,16,11 166,32841,12113,5706,2629,2261,2629,1735,False,False,False,False,False
2031,Marie Laforêt,84 781,178,4 353,28770,10992,2755,1091,0,1560,975,False,False,False,False,False
2032,The Struts,88 973,286,5 595,27155,11510,2695,1196,0,1823,1132,False,True,True,True,True
2033,МЭЙБИ БЭЙБИ,83 973,675,22 514,20394,9132,2461,1635,1390,1619,1241,True,False,False,False,True
2034,Polo & Pan,87 516,132,4 381,23474,10006,2913,1369,924,1278,1002,False,True,False,False,False
2035,Lolita,187 042,590,634,46899,17548,7545,2871,2322,3421,2157,False,False,False,False,False
2036,ANDI,162 750,17,1 399,32667,11613,7623,4048,3301,3108,2420,True,False,False,False,True
2037,Megadeth,44 426,936,85 509,12684,4840,1350,560,555,781,555,False,True,True,True,True
2038,Yeah Yeah Yeahs,137 402,141,19 890,33240,15547,4211,2076,1611,2322,1596,False,False,False,False,False
2039,Семён Слепаков,76 726,4 145,171 512,21902,7875,2806,968,906,1405,898,False,True,True,True,False
2040,Los Lobos,187 354,247,4 353,57562,19969,7593,2408,2013,3006,0,False,False,False,False,False
2041,Dapa Deep,110 234,79,616,27754,10833,5939,2039,1681,2528,1502,False,False,False,False,False
2042,Лев Лещенко,297 493,1 019,19 591,77935,28339,13979,4296,4074,5568,0,False,False,False,False,False
2043,Consoul Trainin,230 699,182,29 029,55693,20615,9554,4354,3500,4363,0,False,False,False,False,False
2044,Алан Черкасов,120 610,22,130,23225,8080,5863,2167,1737,2214,0,False,False,False,False,False
2045,Марлины,49 649,277,135 287,14385,6071,1583,827,657,1064,723,True,True,True,True,True
2046,Charles Aznavour,100 021,410,39 770,49212,18233,6265,2439,1909,3082,0,False,True,False,False,False
2047,PROBASS ∆ HARDI,99 281,146,11 296,20930,7448,4814,1655,1380,1917,0,False,False,False,False,False
2048,Dance With the Dead,51 425,295,49 046,14699,5941,1482,657,0,1129,683,False,False,False,False,False
2049,LANNÉ,219 546,77,110,49991,20029,9995,4493,3597,4615,3152,False,False,False,False,False
2050,Denis Stelmakh,92 054,4 267,108 285,24923,9954,3371,1598,1219,1685,0,True,True,True,True,True
2051,Евгений Маргулис,179 254,455,19 435,46151,16576,6447,2541,2222,3190,2104,True,True,True,False,True
2052,Ella Fitzgerald,111 028,5 251,383 753,35166,14104,3878,1735,0,1980,0,False,True,True,True,True
2053,tritia,73 756,129,7 045,14883,6814,2100,1226,884,1236,832,False,False,False,False,False
2054,Purple Disco Machine,144 673,42,917,40406,16757,6442,2936,2282,2905,2016,False,False,False,False,False
2055,Пятилетка,78 846,9 291,279 362,15652,5368,3406,1173,1132,2388,0,True,False,False,False,False
2056,Tom Odell,200 261,510,10 975,49802,22688,6174,3879,2722,3399,2410,False,True,True,True,True
2057,Александр Новиков,45 951,8 404,325 619,12033,3900,2021,631,0,1169,611,False,True,False,True,True
2058,Artem Smile,196 317,4,106,38511,13624,9008,4356,3819,4335,2904,True,False,False,False,True
2059,SNAP!,128 169,118,11 202,30633,11357,5429,2048,1682,2416,1472,False,False,False,False,False
2060,Balthazar,64 994,131,5 068,19774,10018,2312,1102,0,1162,852,False,False,False,False,False
2061,Катя Огонёк,81 014,17 493,584 041,17856,6123,3751,1161,1146,1884,0,False,False,False,False,False
2062,Чёрный Обелиск,45 228,390,90 760,14565,4533,1475,0,511,779,539,True,True,True,True,False
2063,Blacktop Mojo,111 485,282,6 556,28342,11521,3726,1247,0,2192,1200,False,True,False,False,False
2064,Def Leppard,84 436,1 538,65 426,23550,9039,3465,1102,0,1537,1034,False,True,True,True,True
2065,Сергей Сухачёв,100 153,6 262,128 354,20721,7243,4855,1685,1606,2678,1359,False,False,False,False,False
2066,(G)I-DLE,65 787,2 137,46 749,15794,7134,2037,1278,1021,1431,955,False,True,True,True,True
2067,Babymetal,80 971,578,22 661,10984,5012,1163,727,643,860,630,False,True,True,True,True
2068,Inward Universe,76 258,160,2 189,18974,7534,3903,1583,1337,1819,1235,True,False,False,False,False
2069,HOVANNII,200 267,2,3 813,37509,12919,9555,3758,3157,3348,0,True,False,False,True,True
2070,Tusse,82 251,55,72,20062,8617,2469,1356,836,1176,892,False,False,False,False,False
2071,Светлана Харлап,65 351,25,104,23258,8113,2736,1437,0,1474,1206,False,False,False,False,False
2072,Dead Poet Society,86 382,265,12 874,22260,11522,2583,1445,1123,1925,1218,False,True,True,True,True
2073,Alison Mosshart,126 077,5,598,2695,1528,230,128,0,167,98,False,False,False,False,False
2074,OBLADAET,126 922,4 031,205 383,22113,11252,3115,2714,2100,2004,1792,True,False,True,True,True
2075,Sash!,111 172,82,8 475,27243,10472,4751,1718,1448,2246,1248,False,False,False,False,False
2076,Анвар Нургалиев,28 921,14 632,283 436,4532,549,0,6022,6312,0,1925,True,False,False,True,True
2077,DJ Project,85 138,16,2 246,20174,7054,3762,1880,1587,1691,1195,False,False,False,False,False
2078,HOSH,247 039,11,311,59471,23931,11010,4153,3567,4680,3061,False,False,False,False,False
2079,The Kelly Family,110 817,68,823,32398,11894,4357,1594,0,2119,1375,False,False,False,False,False
2080,Aqua,137 173,104,6 669,38541,14274,4633,2481,1927,2376,1689,False,True,True,True,False
2081,Mindless Self Indulgence,63 007,771,35 094,16217,7952,1664,948,837,1388,938,False,False,False,False,False
2082,Andia,174 646,12,100,32290,12224,6962,2819,2512,3042,1884,False,False,False,False,False
2083,1979,246 859,2,60,59416,23910,10994,4153,3564,4677,3059,False,False,False,False,False
2084,Zayde Wølf,75 622,117,16 494,19817,8226,2295,1173,854,1518,950,False,True,True,True,True
2085,Princesse Angine,39 155,255,7 707,11735,5228,1235,599,0,870,564,False,False,False,False,False
2086,Beatmount,301 780,23,81,68428,26976,13573,5871,4908,6195,3999,False,False,False,False,False
2087,Ne-Yo,146 487,450,57 736,10585,4090,1378,689,502,625,0,False,True,True,True,True
2088,Геннадий Гладков,98 448,52,2 904,87858,29270,8880,4226,0,4698,3424,False,False,False,False,False
2089,КИССКОЛД,174 883,29,1 066,35623,14921,6903,3356,2741,3573,2340,False,False,False,False,False
2090,Juanes,122 608,1 139,84 729,37296,12444,4636,1632,0,2071,1347,False,True,True,True,True
2091,Dave Crusher,210 594,3,32,46428,17980,8903,3273,2810,4257,2374,False,False,False,False,False
2092,Nezhdan,140 318,12,181,30479,11443,6555,2206,1835,2690,1489,False,False,False,False,False
2093,Вячеслав Мясников,91 346,509,21 124,21206,7294,3828,1563,1556,1813,1161,True,True,False,True,True
2094,TIX,75 974,128,179,19258,8159,2337,1333,804,1173,781,False,True,False,False,True
2095,Буерак,38 266,565,23 312,9517,4949,1070,849,677,858,648,True,True,False,False,False
2096,SHENA?,75 944,45,3 860,17002,6866,3187,1335,1042,1811,1032,True,False,False,True,True
2097,Turbotronic,62 644,1 787,76 762,16306,5731,1956,1326,1105,1336,997,False,False,False,False,False
2098,Emil Bulls,100 809,213,11 061,24622,10793,2920,1034,1018,2004,1128,False,True,True,False,False
2099,,268 320,1 162,9 587,70715,25562,12371,3600,3520,4639,0,False,True,False,True,False
2100,TIANA,110 774,19,6 398,21115,7839,5288,2262,2001,2596,1587,True,False,False,True,True
2101,Damien Sargue,118 468,15,839,39716,13712,4396,1628,0,2359,1308,False,False,False,False,False
2102,Татьяна Овсиенко,109 127,893,35 319,26078,9079,4409,1702,1528,2187,1342,False,False,False,True,False
2103,James Brown,109 864,4 707,329 060,43500,17870,5453,2241,0,2390,1688,False,True,False,False,False
2104,Matvey Emerson,231 750,14,7 684,53733,21239,10234,4277,3514,4638,2955,False,False,False,False,False
2105,Low Deep T,74 679,173,7 366,18888,6332,5133,1026,0,1403,0,False,False,False,False,False
2106,Panjabi MC,139 935,1 971,17 839,32875,12610,4928,2116,1894,1984,1466,False,False,False,False,False
2107,Электрофорез,36 820,511,13 213,9509,5162,934,691,577,816,604,True,True,True,False,True
2108,Jeremy Soule,32 562,98,5 994,11071,4515,1162,632,511,857,535,False,False,False,False,False
2109,LeanJe,47 575,360,1 781,9800,4520,1458,963,741,939,744,False,False,False,False,False
2110,МодеМ,157 215,168,6 718,38070,15005,5656,2061,1961,2829,1691,False,False,False,False,False
2111,Nomy,88 949,151,7 871,26113,11275,2638,1329,1105,1856,1171,False,False,False,False,False
2112,Павел Смеян,123 562,59,1 682,40882,13323,3927,1874,1430,2124,1467,False,False,False,False,False
2113,Mark Dekoda,79 014,1 409,66 965,18789,6793,3142,1590,1205,1651,1081,False,False,False,False,False
2114,Kavinsky,112 827,276,21 706,25012,12176,3240,1751,1321,2096,1260,False,True,True,True,False
2115,Meghan Trainor,135 345,94,56 907,48769,18706,5745,3532,2454,3063,0,False,True,True,True,True
2116,Asking Alexandria,87 236,12 422,318 908,19988,9579,2526,1224,998,1587,1154,False,True,True,False,True
2117,Ghost Rider,90 167,1 895,15 102,24322,9121,3618,1684,1349,1861,1208,False,False,False,False,False
2118,The Blue Stones,50 288,125,1 213,14128,7729,1471,963,651,1128,761,False,False,False,False,False
2119,Ирина Кайратовна,143 388,14 042,125 791,15597,6149,2551,0,0,0,0,True,False,False,True,True
2120,Fugo,224 497,4,11,49184,19026,10602,4094,3522,4679,2766,False,False,False,False,False
2121,Jefferson Airplane,125 501,327,36 624,32362,14097,3919,1882,1442,2065,0,False,True,False,False,False
2122,Lord Huron,91 935,139,2 739,24013,11834,2439,1773,1169,1652,1071,False,False,False,False,False
2123,Akcent,133 991,298,76 853,28894,10314,5651,2486,2001,2296,0,False,True,True,True,False
2124,AP$ENT,59 515,179,3 810,15770,6804,1699,1089,918,1188,958,False,False,False,False,False
2125,Кирпичи,59 726,591,18 253,17444,8414,1679,809,660,842,713,True,True,True,True,False
2126,Евгений Гришковец,52 623,104,4 709,15471,6071,1928,923,770,965,673,False,True,True,True,False
2127,Сёстры,182 454,346,2 727,13165,6794,2012,1616,1115,1181,971,True,False,False,False,True
2128,Вера Полозкова,26 701,177,14 012,7223,3237,861,377,0,425,305,True,True,False,False,False
2129,Marc Korn,228 164,27,243,57293,21987,8059,4006,3324,4394,2911,False,False,False,False,False
2130,Gareth Emery,114 203,69,15 314,31902,12394,4023,2067,1637,2109,1511,False,True,True,True,True
2131,Ane Brun,145 177,36,3 178,11820,4980,1384,591,0,623,0,False,True,True,True,True
2132,Kendrick Lamar,394 701,4 726,334 923,82502,34295,10506,6556,4770,5443,4020,False,True,True,True,True
2133,Giolì & Assia,78 729,170,8 171,20377,8251,3963,1610,1182,1694,1156,False,True,True,True,True
2134,Mr. President,167 984,42,4 581,38405,13844,7141,2578,2349,3128,1914,False,False,False,False,False
2135,ШАРЛОТ,94 086,254,17 491,25503,10458,2989,2229,1804,1678,1526,True,False,False,True,True
2136,Яна Вайновская,140 271,1 182,13 306,26313,9199,6797,1940,1843,3015,0,True,False,False,False,False
2137,Sibewest,95 560,198,3 150,23852,10659,3579,1861,1434,1915,1490,False,False,False,False,False
2138,Alex Who?,103 234,8 619,398 136,30518,12106,5032,1319,0,2152,0,False,True,True,True,True
2139,6ARS,133 747,8,56,26252,10797,5320,2649,1954,2456,1626,False,False,False,False,False
2140,ESTRADARADA,140 559,44,65 666,31490,11529,5582,1827,1632,2434,1388,True,True,False,True,True
2141,Божья Коровка,125 653,3 721,46 732,29030,9608,5229,2064,1886,2317,1668,True,True,False,True,True
2142,Калинов Мост,59 259,3 123,52 832,23445,8987,3710,1273,1079,1942,995,True,True,True,True,True
2143,Марина Ланда,52 383,23,402,21418,7594,2528,1236,933,1397,952,False,False,False,False,False
2144,Mötley Crüe,88 915,1 650,49 833,24779,9624,2822,966,910,1387,949,False,True,True,True,True
2145,Franky Wah,47 828,29,95,13469,5641,2111,974,670,933,708,False,False,False,False,False
2146,Jean-Michel Jarre,66 314,287,20 555,18591,7171,2648,849,0,1386,776,False,True,True,True,True
2147,Drahonn,158 651,25,125,33329,12797,6210,3168,2440,2885,1838,False,False,False,False,False
2148,Soha,173 923,15,7 608,45215,17778,7725,2803,2186,3297,0,False,False,False,False,False
