,name,M_total_count,M_total_count_likes,recommend_all,MSK,SPB,KRD,KZN,BASHK,NVSB,SAMARA,Vk,Fb,Tw,Yt,Inst
0,Король и Шут,1 386 584,55 616,1 503 141,391118,159117,59230,29297,26724,29610,24821,True,True,True,True,False
1,Artik & Asti,1 960 972,131 515,4 227 855,489127,182530,105835,50039,42793,48915,38154,True,True,True,True,True
2,Zivert,2 064 561,117 641,3 022 289,542476,201002,110813,51014,43499,49173,38154,True,False,False,True,True
3,JONY,1 796 037,106 453,1 831 271,424884,158263,91928,48145,39665,38602,33248,True,False,False,False,True
4,Баста,1 624 270,97 530,4 590 738,394303,149826,76974,35365,29293,32561,25198,True,True,True,True,True
5,Руки Вверх!,1 714 807,89 340,3 249 326,422445,158095,77709,43328,37341,39682,33481,True,True,True,True,True
6,КИНО,1 187 381,76 778,3 031 065,324043,130615,50291,24896,22690,23939,18904,True,True,False,True,True
7,HammAli & Navai,1 644 297,90 987,2 894 777,377435,139867,84128,39495,31733,37525,28766,True,False,False,False,False
8,Би-2,1 285 738,68 906,2 945 508,347686,139609,55191,26921,24047,27741,21021,True,True,True,True,True
9,NILETTO,1 755 181,80 846,1 105 295,450491,172178,84401,45025,38427,42439,32562,True,False,False,True,True
10,Miyagi & Andy Panda,1 300 459,108 037,941 711,282357,109822,64594,35217,29117,27666,24222,True,False,False,False,True
11,Мари Краймбрери,1 138 659,73 672,1 733 608,279322,107233,62077,27674,23604,29894,21363,True,True,False,True,True
12,Rammstein,722 191,46 044,1 158 399,192319,80502,27696,12610,11269,14698,10642,False,True,True,True,True
13,Linkin Park,1 097 566,60 135,2 149 391,287800,119784,43337,21960,18432,22430,17137,True,True,True,True,True
14,Сплин,1 077 727,54 162,2 519 443,302873,125344,46192,21746,19487,23019,17490,True,True,True,True,True
15,Клава Кока,1 774 045,62 648,1 112 124,445537,170326,81604,44741,37569,42335,33774,True,True,True,True,True
16,Земфира,1 013 895,52 969,1 857 571,286090,114803,44481,20417,18362,21319,15877,True,True,False,True,True
17,Imagine Dragons,1 416 538,64 601,2 530 529,376554,149751,59046,29075,23813,29556,21029,False,True,True,True,True
18,Макс Корж,817 166,91 098,4 053 102,195860,83856,33016,21444,17176,17488,14696,True,True,True,True,True
19,NЮ,1 022 719,27 302,299 999,237237,94338,48890,23328,19979,25721,18441,True,True,False,True,True
20,twenty one pilots,958 460,22 428,1 010 210,228034,97671,31848,18198,14135,17757,12560,False,True,True,True,True
21,Queen,1 075 484,59 377,2 704 577,305647,119453,44048,18919,15758,20938,14452,False,True,True,True,True
22,LOBODA,1 142 609,86 970,4 191 203,281348,104927,60768,23081,19948,28010,18909,True,True,True,True,True
23,Dabro,1 487 010,45 859,719 796,357926,135978,66979,36787,30750,33465,25883,True,False,False,True,True
24,Ramil',1 475 288,56 425,560 500,342184,130135,74761,38495,32398,34988,27912,True,True,False,False,True
25,Макс Барских,1 264 182,54 716,3 103 172,311395,116893,66178,26790,22856,29776,20577,True,True,True,True,True
26,Måneskin,549 531,14 548,16 603,129316,55637,16905,10352,7058,10141,7775,False,True,True,True,True
27,Jah Khalib,975 209,64 926,3 363 541,210845,76343,47651,23580,19143,18584,15582,True,True,True,True,True
28,Мот,1 207 508,21 668,2 674 546,288393,104982,57834,28780,22539,24746,19537,True,True,True,False,True
29,Filatov & Karas,1 600 933,56 858,1 231 686,387893,144109,76537,35501,30011,35127,26159,True,True,True,False,True
30,Noize MC,658 621,39 958,1 863 712,181473,81917,22507,14583,11579,13274,11176,True,True,True,True,True
31,Тима Белорусских,1 117 642,43 121,2 716 876,272243,108834,46025,24628,20614,23982,17488,True,False,False,True,True
32,Звери,1 042 763,38 383,1 290 244,285718,112768,43399,20915,18404,21914,16296,True,True,False,True,True
33,Mary Gu,1 053 655,41 224,295 532,253619,99550,51686,27104,22616,26355,20854,True,False,False,True,True
34,Minelli,1 467 584,30 245,40 172,363116,137759,74160,35214,28887,34301,26270,False,True,False,True,True
35,David Guetta,1 206 727,52 668,2 774 436,352765,138073,57661,30165,24331,27622,20775,False,True,True,True,True
36,GAYAZOV$ BROTHER$,1 052 334,30 639,1 018 736,244126,94821,50237,25318,21811,24895,18794,True,False,False,False,True
37,Miyagi,830 562,84 063,2 419 889,163143,63060,35954,20945,16389,14180,13201,True,False,False,False,True
38,Михаил Круг,535 013,75 988,2 621 743,146964,47913,26981,10630,9817,12511,8865,False,False,False,False,False
39,Мумий Тролль,962 591,30 761,1 277 283,275790,109709,41275,18341,16510,20693,14726,True,True,True,True,True
40,Артур Пирожков,947 012,33 728,1 502 424,218973,81246,46815,18681,16378,22576,15252,True,True,True,True,True
41,SLAVA MARLOW,1 307 379,73 461,505 866,374478,150397,73485,42834,37239,36037,30096,True,False,False,True,True
42,Billie Eilish,1 066 425,34 339,959 947,260212,106358,42711,21922,17040,20510,14311,False,True,True,True,True
43,Ария,634 260,27 437,1 220 136,173612,61591,26976,10515,9225,11908,8682,True,True,True,True,True
44,Masked Wolf,1 768 801,28 923,107 700,426648,170161,81019,40833,33519,39834,29277,False,False,False,False,False
45,#2Маши,1 066 073,37 851,1 572 736,256177,93544,54296,18770,16191,25165,15626,True,True,False,True,True
46,Sia,1 052 278,31 146,2 284 498,281825,107345,41191,21789,16937,19156,14375,False,True,True,True,True
47,VAVAN,1 107 688,11 591,47 680,252948,93339,49830,28846,24856,26396,20849,True,False,False,True,True
48,Елена Темникова,1 063 102,25 731,2 309 368,240669,93423,52316,23788,19951,24281,17517,True,True,True,True,True
49,Полина Гагарина,931 635,23 425,2 598 151,239794,85861,44097,17205,14294,19254,12414,True,True,True,True,True
50,Ляпис Трубецкой,692 037,21 541,791 283,190784,74214,25350,12481,11260,12621,10329,False,True,True,True,False
51,FREE FLOW FLAVA,669 919,29 889,420 961,174430,70964,30205,15326,13282,14214,11627,True,False,False,True,True
52,DEAD BLONDE,996 261,14 844,18 766,213172,85577,35198,23231,18310,20097,17368,True,False,False,False,True
53,Сказки,204 361,12 692,22 481,80267,28918,12454,6135,5305,6073,4618,False,False,False,False,False
54,Moby,766 511,15 097,565 553,200375,83454,29700,12939,10430,13832,9766,False,True,True,True,True
55,Григорий Лепс,680 506,37 332,1 972 793,179465,60577,34753,10937,9611,14029,9118,True,True,True,True,True
56,The Weeknd,1 389 628,41 216,1 536 592,337615,142472,58508,30716,24840,27445,20859,False,True,True,True,True
57,Ночные Снайперы,544 402,22 961,779 293,155453,62006,25680,9270,8591,12361,7938,True,True,True,True,True
58,Агата Кристи,732 291,30 675,1 153 110,191819,78954,29923,11731,10887,15575,9947,True,True,False,True,True
59,Burito,940 574,12 948,1 182 087,224287,81359,45546,19951,17311,20472,14678,True,True,True,True,True
60,Леонид Агутин,471 869,18 246,536 942,137567,50453,22649,8894,6891,9682,7054,True,True,True,True,True
61,Nautilus Pompilius,667 621,21 787,990 554,180261,70082,27620,11374,10240,13563,9320,False,False,False,False,False
62,Armin van Buuren,865 263,30 171,1 023 378,232834,92048,38306,18342,14764,18130,13443,False,True,True,True,True
63,ДДТ,712 869,33 512,1 538 160,190659,75835,28319,14228,13581,14249,10805,True,True,False,True,True
64,ХАБИБ,1 234 371,41 631,185 817,298078,105986,57356,31594,27327,29113,22090,True,False,False,True,True
65,Ёлка,828 155,13 231,1 101 965,201329,78027,36917,16532,13410,17273,11677,True,True,True,False,True
66,AC/DC,613 156,32 426,1 334 249,166369,64446,23358,10267,8710,10915,8223,False,True,True,True,True
67,VERBEE,980 926,12 595,579 672,221951,82377,44710,24925,20453,21937,17738,True,False,False,True,True
68,Agunda,1 201 590,8 151,95 106,284223,107762,59833,32032,27882,29031,22389,True,False,False,False,True
69,Валерий Меладзе,462 929,35 449,1 139 508,119852,47316,20879,8765,6783,8824,0,False,True,False,True,False
70,Анет Сай,1 092 008,12 026,116 144,254031,98880,50416,26603,22136,25242,18761,True,False,False,True,True
71,Red Hot Chili Peppers,687 640,35 820,1 176 886,187239,78335,25270,12147,9866,12715,9376,False,True,True,True,True
72,PIZZA,977 904,19 000,786 517,228191,87675,42931,22966,19118,20024,15345,True,True,True,True,True
73,Mia Boyka,775 559,9 726,97 706,201703,70773,36247,20716,17999,18851,14345,True,False,False,True,True
74,Alok,1 348 451,11 466,98 024,324153,126187,59331,29706,24157,28531,21271,False,True,True,True,True
75,Любэ,561 046,35 811,1 186 383,151908,52355,24350,10873,10099,11869,8260,True,True,False,True,True
76,Miyagi & Эндшпиль,987 798,86 535,3 036 840,212436,82583,45789,24633,19804,18303,15722,True,False,False,False,True
77,Ваня Дмитриенко,1 301 312,16 200,62 970,313684,121226,60489,31017,26036,29731,21696,True,False,False,True,True
78,Егор Крид,1 057 043,64 620,4 041 737,237113,90107,46166,25273,20772,20966,17679,True,True,True,True,True
79,Lana Del Rey,699 999,13 195,1 188 719,190007,79914,27757,14868,11166,13246,9863,False,True,True,True,True
80,EMIN,808 496,13 235,477 595,185738,64599,40652,16047,13163,16664,0,True,True,True,True,True
81,Нервы,338 518,2 862,155 320,102717,45607,14919,9421,7386,8903,6848,True,True,False,True,True
82,ХАННА,823 575,20 790,1 175 728,184599,67763,41227,18600,15815,19389,13766,True,True,False,True,True
83,Basstrologe,961 419,5 701,10 263,225777,90835,38421,18476,13908,18691,13328,False,False,False,False,False
84,MONATIK,564 673,14 353,1 411 458,159327,60174,27073,12701,9248,11272,9044,True,True,True,True,True
85,kavabanga Depo kolibri,856 150,9 708,798 363,183973,69285,36619,18014,14607,18805,13284,True,False,True,True,True
86,Nickelback,711 786,35 866,1 184 193,193412,74584,27603,12964,10873,14022,10085,False,True,True,True,True
87,Кукрыниксы,475 364,14 648,569 649,139819,57900,18895,8023,7566,9516,7536,True,True,True,True,False
88,25/17,376 180,15 323,180 154,92819,37333,13995,7089,6024,7807,5477,True,True,True,True,True
89,ANIVAR,898 254,22 645,955 159,193500,68780,48039,18988,16849,20870,13964,True,False,False,True,True
90,Nirvana,664 221,58 798,1 489 267,168608,71649,23320,10314,8971,12158,8575,False,True,True,True,True
91,Порнофильмы,408 383,22 166,593 237,109825,46891,12965,8537,7283,8106,7204,True,True,True,True,True
92,Султан Лагучев,1 045 257,44 161,121 812,216860,76034,58876,25224,22057,22309,16907,True,False,False,False,True
93,Metallica,508 616,32 193,1 442 595,139487,53184,19533,6915,6358,9138,6285,False,True,True,True,True
94,Пикник,443 901,17 170,846 791,122002,49792,19023,7879,7354,9228,6905,True,True,True,True,True
95,System of A Down,534 416,29 383,1 031 436,144619,61743,18908,8794,7443,10070,7687,False,True,True,True,True
96,Alan Walker,1 007 571,48 925,1 859 687,249944,95495,41491,21954,18080,20306,14857,False,True,True,True,True
97,Modern Talking,695 612,72 779,1 008 615,176724,65034,30501,12970,11484,14264,9806,False,True,False,True,False
98,просто Лера,432 081,8 787,30 621,94124,41680,16412,9714,7923,9723,7337,True,False,False,True,True
99,Scorpions,644 372,27 869,1 482 380,171278,64409,27563,9573,8309,12396,7859,False,True,True,True,True
100,Сергей Лазарев,584 241,15 407,1 144 618,150238,56788,26099,11295,9280,12427,8857,True,True,True,True,True
101,HENSY,1 009 882,7 752,176 769,232854,92082,45005,24013,20192,22303,16343,True,False,False,False,True
102,Каста,547 693,32 042,1 353 926,139436,57897,23646,11128,8916,11014,8076,True,True,False,True,True
103,Sting,845 221,29 889,616 489,280774,106584,47106,18567,14856,20404,0,False,True,True,True,True
104,INNA,1 123 825,60 313,732 987,257162,98346,53887,24893,20908,23905,17649,False,True,True,True,True
105,Little Big,797 865,52 821,1 957 037,209115,86393,30063,15277,12609,16791,11932,True,True,True,True,True
106,Тайпан,1 115 605,3 152,58 882,261774,99532,55080,28059,24552,26804,19646,True,False,False,False,True
107,Depeche Mode,542 727,23 528,638 690,158075,68156,20562,8694,6956,10265,7069,True,True,True,True,True
108,Dua Lipa,673 790,23 078,746 670,165291,67126,26421,14067,11037,12515,9301,False,True,True,True,True
109,Rauf & Faik,1 085 458,14 125,847 450,250333,95102,46293,24748,20354,22384,16218,True,False,False,True,True
110,The Limba,765 903,5 561,205 878,161343,63563,33302,18287,14342,14940,12054,True,False,False,True,True
111,Radio Tapok,298 449,16 631,200 608,83944,32503,11426,5349,5040,6339,5084,False,False,False,False,False
112,Janaga,908 465,2 432,82 662,185840,69202,44023,22410,18776,18272,14627,True,False,False,True,True
113,LOUNA,309 479,10 443,624 868,88159,35013,11277,5066,4591,5660,4775,True,True,True,True,True
114,Фиксики,326 246,18 146,44 678,99969,32027,11015,7140,5197,6131,0,True,True,True,True,False
115,Асия,706 232,7 994,103 671,159903,64526,33233,15391,13082,16899,11241,True,False,False,True,True
116,МакSим,573 501,24 734,1 253 643,149740,56557,23891,13639,11439,12172,9515,True,True,False,True,True
117,Manizha,641 737,3 243,23 122,158162,61838,23678,12703,9429,11811,8897,True,True,True,True,True
118,Миша Марвин,802 208,8 073,496 113,170223,62034,38582,18048,15077,16957,12582,True,True,False,True,True
119,Танцы Минус,766 222,15 293,562 724,206218,81078,31029,14649,13435,15418,11292,True,True,True,False,True
120,Three Days Grace,510 405,29 317,759 333,132652,56843,17274,8768,7242,10186,7260,True,True,True,True,True
121,Дима Билан,682 807,11 344,1 626 381,184992,66797,29659,13431,10738,13956,9965,True,True,True,True,True
122,Ислам Итляшев,505 576,48 193,476 770,97748,30714,33718,12530,11800,10027,0,True,False,False,True,True
123,Skillet,445 893,26 467,1 002 085,112736,46470,15336,7606,6554,9153,6306,True,True,True,True,True
124,Tiësto,1 048 970,44 924,1 226 425,250835,100824,45683,22245,17914,21298,15136,False,True,True,True,True
125,Нурминский,401 745,31 259,1 127 377,94566,34333,17367,12423,10207,8918,8014,True,False,False,True,True
126,Ava Max,835 624,21 764,243 646,206710,78749,34760,18136,15383,17204,12666,False,True,True,True,True
127,Animal ДжаZ,344 166,6 191,273 393,91674,44253,11084,6278,5270,6214,5234,True,True,True,True,True
128,Рем Дигга,875 039,17 066,1 062 311,172620,69184,35557,17788,14179,14471,11053,True,False,False,True,True
129,The Hatters,430 212,13 966,470 136,103510,47869,13921,9916,7736,8856,7185,True,True,True,True,True
130,Ани Лорак,496 998,9 063,1 405 196,107024,36232,23399,7993,6733,9645,6448,True,True,True,True,True
131,ELMAN,871 662,15 781,166 902,188098,67566,43490,22655,18418,17649,14703,True,False,False,False,True
132,OneRepublic,910 976,13 141,618 253,210691,85122,30126,16631,12797,15620,11275,False,True,True,True,True
133,Eneli,1 109 764,21 871,223 776,237043,91840,49508,20038,17013,21851,14228,False,True,True,True,True
134,Cream Soda,741 129,6 850,406 753,187422,80859,30976,15115,12241,15883,11291,True,True,True,True,True
135,Лёша Свик,662 618,21 302,1 283 886,148607,56106,32846,13528,11364,16024,10802,True,False,True,False,True
136,Muse,437 180,7 078,797 355,119686,51737,14702,6760,5323,8319,5352,False,True,True,True,True
137,Otnicka,800 251,15 489,88 811,176232,66617,40232,17843,15583,16462,12295,True,True,False,True,True
138,ЭGO,416 601,32 516,638 100,81855,26249,25248,10390,9899,9419,7155,True,True,False,True,True
139,Монеточка,428 640,7 289,562 253,111064,49412,13074,8078,6286,7333,5675,True,False,False,True,True
140,Lunis,1 012 110,7 411,25 483,245528,95803,46618,23726,19501,21267,16918,False,False,False,False,False
141,RSAC,1 063 001,2 969,226 690,248701,101325,46258,22551,18833,21388,15039,True,True,True,False,True
142,RASA,879 658,21 644,1 012 789,211814,75013,41626,20969,17668,20546,15051,True,False,False,True,False
143,Смысловые Галлюцинации,711 347,14 698,556 083,183978,74268,28771,11576,10663,14242,9302,True,True,False,True,False
144,Timran,996 073,1 334,44 250,218562,78145,47777,24326,20605,20302,15997,True,False,False,False,True
145,Ed Sheeran,806 341,9 231,1 090 025,235609,89217,32797,18603,14141,15929,11543,False,True,True,True,True
146,ФОГЕЛЬ,553 945,11 079,251 188,119251,48172,23542,13506,11584,12649,9366,True,False,False,True,True
147,Two Feet,930 317,19 395,253 253,226167,96956,38521,18811,14714,18474,13004,False,True,True,True,True
148,Konfuz,939 454,7 777,32 766,196918,73110,42312,24060,20314,19447,15808,True,False,False,False,False
149,Океан Ельзи,412 514,1 005,428 654,107197,42104,19928,6037,0,7448,0,False,True,True,True,True
150,Batrai,931 660,934,17 510,200134,71445,43386,21989,18481,18859,14642,True,False,False,False,True
151,MACAN,409 507,18 977,152 780,86205,33690,16995,11374,8923,7699,7347,True,False,False,True,True
152,WYR GEMI,722 154,30 928,261 671,160617,61491,33589,15854,13959,15140,11452,False,False,False,False,False
153,дора,773 775,13 961,200 376,168523,68381,29408,16648,13990,15534,11498,True,False,False,True,True
154,Тимати,851 571,31 570,1 553 551,208752,77757,38077,20054,16142,16415,13717,True,True,True,True,True
155,Robert Cristian,998 322,35 520,371 947,237495,87938,48996,23228,19772,21525,16343,False,True,False,True,True
156,Владимир Высоцкий,308 795,23 328,567 978,100423,35908,14302,4908,4560,6858,4487,False,False,False,False,False
157,Мохито,820 821,10 667,546 942,178962,65352,40646,17348,14912,19189,12948,True,True,False,True,False
158,Michael Jackson,633 351,11 019,529 552,262898,103978,38662,15869,12840,17819,0,False,True,True,True,False
159,The Beatles,390 716,38 189,1 388 456,124148,49660,14702,7070,5596,7656,5469,False,True,True,True,False
160,The Prodigy,422 932,28 656,892 434,112301,49892,14917,6195,5420,7214,5286,False,True,True,True,True
161,Алла Пугачёва,456 767,23 442,718 662,136056,46799,19666,7922,6502,8758,6138,True,False,True,True,False
162,TRFN,722 706,1 739,43 113,170477,67750,33367,15810,13063,15630,11761,False,True,False,True,True
163,Стас Михайлов,401 613,25 189,1 064 592,91808,30337,20666,6354,5957,8432,5307,True,True,True,True,True
164,алёна швец,255 534,19 106,296 934,67156,30086,9249,6718,5370,5675,4887,True,False,False,True,True
165,Lumen,323 875,9 782,650 307,89559,38620,10457,5801,5682,5745,4964,True,True,True,True,True
166,Ирина Круг,371 350,55 762,1 827 104,93233,30528,19591,6818,6582,8938,0,True,True,True,True,False
167,Rag'n'Bone Man,852 419,5 008,310 374,212615,83239,33561,14620,11611,15825,0,False,True,True,True,True
168,Браво,552 812,6 642,316 888,168577,61455,22822,9622,8536,10658,7801,True,True,False,True,True
169,NLO,597 080,5 423,21 794,126005,50802,25023,15920,13449,13746,11305,True,False,False,True,True
170,Rihanna,784 531,13 583,1 224 542,169074,66079,24336,13147,9939,11513,8323,False,True,True,True,True
171,Arctic Monkeys,389 384,11 519,448 769,105107,50632,12498,7640,5490,7691,5434,False,True,True,True,True
172,Sabaton,299 984,11 545,430 508,77418,30342,9094,4063,3582,5481,3898,False,True,True,True,True
173,BTS,163 900,30 485,821 289,34825,14682,5796,3775,3110,3095,2371,False,True,True,True,True
174,Serhat Durmus,892 115,7 406,25 630,197764,76774,39599,18133,15003,17054,12270,False,True,True,True,True
175,polnalyubvi,466 621,5 912,59 766,107137,45771,18148,9299,7714,9057,6512,True,False,False,True,True
176,Ирина Дубцова,433 488,3 300,330 832,117196,41692,23791,8089,6272,10197,6583,True,True,True,True,True
177,Dj Smash,984 720,6 372,251 080,233726,91263,43881,21416,18290,20769,14929,True,True,True,True,True
178,FILV,1 097 542,23 393,460 177,256132,98372,49670,21899,17972,22344,0,True,False,False,False,True
179,Lady Gaga,550 765,3 342,376 550,162898,64202,21357,11146,8592,10730,7554,False,True,True,True,True
180,Sam Smith,610 897,4 542,340 097,161496,64714,26067,12886,9717,11675,8185,False,True,True,True,True
181,Кипелов,727 290,9 953,619 381,85081,30752,13643,4578,4317,5954,3866,True,True,True,True,True
182,Звонкий,673 702,5 050,304 843,155933,60249,32354,14207,11714,14302,9897,True,True,False,False,True
183,Emma Peters,1 076 179,1 525,38 450,198022,75529,37694,14786,11930,15403,0,False,False,False,False,True
184,АнимациЯ,555 053,6 858,364 731,151942,60813,21549,9409,8620,11432,8124,True,True,True,True,True
185,Nebezao,747 113,2 626,91 907,158222,59254,35943,15175,13153,17406,11333,True,False,False,True,True
186,Slavik Pogosov,458 413,4 099,34 853,95220,32965,22788,11202,10130,10105,7776,True,False,False,False,True
187,Максим Фадеев,518 673,5 249,440 837,325640,119768,63775,24509,21228,28372,18940,True,True,True,True,True
188,Скриптонит,1 193 252,86 517,2 831 747,184892,77681,34733,23562,18620,16688,15958,True,False,False,False,True
189,Бумбокс,638 465,481,177 861,151198,59604,25269,9977,7921,11387,0,True,True,True,True,True
190,Robin Schulz,990 449,20 183,506 663,250396,95210,39854,21052,17150,18825,14078,False,True,True,True,True
191,ЕГОР ШИП,706 695,8 616,44 975,180893,64827,32300,18463,15918,16608,12651,True,False,False,True,True
192,Coldplay,673 333,15 933,766 319,178908,73089,23909,13385,10233,11936,8743,False,True,True,True,True
193,Иван Дорн,491 298,4 032,374 564,117003,49143,17648,9020,6763,8047,6374,True,True,True,True,True
194,Andro,743 461,7 860,279 800,159318,60735,35315,18247,14249,14189,11414,True,False,False,False,True
195,Ленинград,750 962,37 897,2 081 469,213777,86426,34415,13218,11966,16587,11803,True,True,False,True,True
196,Мельница,201 478,19 184,602 307,64301,24782,7019,4006,3357,4066,3251,True,True,False,True,True
197,Intelligency,942 397,7 539,220 720,211812,90554,37640,17965,14630,18791,12346,True,True,False,True,True
198,L'One,433 100,18 564,1 567 896,101171,38426,17350,10598,7861,7061,6472,True,True,True,True,True
199,ЧайФ,429 716,10 893,565 980,121735,45067,17261,8423,7973,8322,6477,True,True,True,True,True
200,Артём Качер,877 138,3 593,190 067,82484,29749,19758,7296,6066,8803,5413,True,True,False,False,True
201,IOWA,582 638,4 417,860 231,141166,56164,23735,11448,9410,11758,8337,True,True,True,True,True
202,ZELL,921 109,2 143,21 199,200247,71622,43152,22365,18885,18771,14783,False,False,False,False,True
203,The Tech Thieves,905 000,4 180,21 593,218352,88567,37704,16692,13776,18899,12338,False,False,False,False,False
204,MATRANG,411 818,14 075,1 324 442,96748,37433,20594,8612,7112,8531,5999,True,True,False,True,True
205,Tommee Profitt,869 913,1 090,63 672,192523,77127,35610,14712,12354,16086,0,False,True,True,True,True
206,Олег Анофриев,355 042,211,6 395,121232,40293,13968,7064,5404,6957,5318,False,False,False,False,False
207,Katy Perry,610 767,3 790,682 421,202238,81244,28451,14333,11496,14662,10043,False,True,True,True,True
208,TRITICUM,504 822,7 278,155 988,117582,45047,25472,9603,8150,11261,7215,True,False,False,False,True
209,Drummatix,276 875,2 106,53 587,65387,27446,10672,4788,3980,5593,3974,True,True,True,False,True
210,StaFFорд63,378 243,10 330,201 574,81252,28275,18871,8376,7813,9604,6438,True,False,False,True,False
211,Shakira,573 503,20 887,593 836,166765,62638,23390,12274,9466,11131,8285,False,True,True,True,True
212,Грот,212 211,5 895,467 175,59366,22913,8876,4009,3465,4548,3145,True,True,True,True,True
213,Зомб,453 387,10 823,1 010 519,101647,37719,21811,11563,9479,10489,8274,True,False,True,True,True
214,Тараканы!,306 564,4 969,274 564,88451,33723,9135,4158,3822,4722,3988,True,True,True,True,True
215,Klaas,840 841,18 599,311 847,197735,76036,33902,17094,14540,17098,12311,False,True,True,True,True
216,Сектор Газа,638 715,24 819,815 990,174693,63888,25552,11949,11277,12805,9776,False,False,False,False,False
217,Канги,582 954,28 879,66 198,125416,50867,23163,15758,13279,12217,10948,True,False,False,False,True
218,Calvin Harris,586 153,9 837,1 015 636,208354,82596,31961,16152,12713,15156,10650,False,True,True,True,True
219,KARA KROSS,791 393,5 977,32 595,169358,64247,36625,18136,15397,17883,12753,True,False,False,True,True
220,Лилу45,601 657,1 423,1 854,122944,52053,22552,12832,10293,12193,9358,True,False,False,False,True
221,7Б,511 943,7 632,404 434,123997,50458,20886,8561,8170,9648,6524,True,False,True,False,True
222,Маша и медведь,307 424,19 387,22 364,96041,30316,10770,6740,4845,5691,0,False,False,False,False,False
223,NK,428 676,950,25 426,95412,34398,18947,7450,5945,8120,0,True,True,True,True,True
224,Sevak,420 017,2 580,19 252,89923,31383,22641,9167,7570,8075,6091,False,False,False,False,False
225,Plamenev,305 471,10 714,66 044,76112,30779,10144,4662,4353,6225,4348,False,False,False,False,False
226,KALEO,700 741,7 582,277 631,174206,70153,26667,11709,9001,12935,0,False,True,True,True,True
227,Малышарики,195 188,13 415,18 394,65846,20949,6505,4253,0,3695,3046,True,True,False,True,True
228,The Offspring,566 640,17 990,601 969,168286,66312,18777,9167,7978,10251,7854,True,True,True,True,True
229,GUF,642 404,29 031,1 490 327,136264,49048,24807,13415,10779,10940,9499,True,True,True,True,True
230,Maroon 5,548 643,13 151,977 987,149701,60085,19916,10788,8259,10401,7271,False,True,True,True,True
231,ONEIL,696 132,15 455,41 934,164339,62958,32977,15637,13333,14956,11380,True,False,False,False,False
232,Джаро & Ханза,662 500,11 108,463 218,151486,54161,31514,15644,12602,13451,10273,True,False,False,False,True
233,Михаил Шуфутинский,326 736,17 327,492 652,87541,25792,18230,4791,4554,6594,4146,True,True,True,True,True
234,Bahh Tee,459 701,1 091,337 851,103541,37366,22363,9843,8325,10300,6940,True,True,True,True,True
235,Bruno Mars,582 478,4 837,238 457,154069,62591,21068,12027,8852,10482,7654,False,True,True,True,True
236,Хлеб,647 787,622,384 563,161546,71721,25933,12712,10414,14212,9688,True,True,True,True,True
237,Fall Out Boy,417 928,10 117,817 609,110195,47097,12988,7083,5564,7955,5563,False,True,True,True,True
238,Max Oazo,695 556,2 812,348 780,166872,63846,34711,15288,12978,14617,10873,False,True,True,True,True
239,SHAMI,509 942,3 253,19 941,105076,37822,24743,13580,10932,9764,8197,True,False,True,True,True
240,T1One,436 351,6 208,473 670,88236,30656,19652,9743,8779,9850,6845,True,True,True,True,True
241,t.A.T.u.,407 088,4 054,162 954,107554,43582,15881,6778,5793,8185,5280,True,True,True,True,False
242,Markul,463 900,9 977,729 954,101916,45000,16289,11054,8312,9203,7651,True,False,True,True,True
243,Ace of Base,542 042,4 073,143 383,135212,50738,23475,9690,8294,11060,7485,False,True,True,True,False
244,Чиж & Co,427 543,9 427,432 759,112118,42034,15592,7228,6591,7960,5943,False,False,False,False,False
245,Evanescence,509 249,33 024,585 487,124087,49820,19056,7376,6345,9524,6038,True,True,True,True,True
246,Машина времени,375 800,11 282,409 965,104619,39150,15477,6899,6197,7391,5220,True,True,False,True,True
247,Гузель Хасанова,428 836,4 008,104 269,96869,34965,22668,8971,7920,9775,6522,True,True,True,False,True
248,AMCHI,647 416,1 486,51 894,140972,54791,28013,13943,10891,12920,9271,True,False,False,True,True
249,escape,635 090,1 047,5 382,124019,47155,27746,15024,12460,12572,9451,True,False,False,False,True
250,Disturbed,295 971,14 817,483 233,77709,32325,10215,4488,3948,5992,4192,True,True,True,True,True
251,ГУДЗОН,430 604,3 484,46 679,90734,31077,18486,12129,11116,9847,8210,True,True,False,True,True
252,Сергей Трофимов,353 855,43 148,1 424 164,95221,31718,15433,5774,5298,7460,4728,True,True,False,True,True
253,Юрий Шатунов,365 032,31 582,658 458,82365,27908,16000,6983,6491,7710,5221,True,True,True,True,True
254,Go_A,239 605,2 055,6 135,58496,24405,7583,4327,2970,3757,3148,False,False,False,False,False
255,LIZOT,821 447,2 571,7 093,199941,77681,33891,16788,12985,16428,11742,False,True,False,False,True
256,Liam Howard,543 228,1 128,1 376,107548,42396,20781,9967,8019,10379,7054,False,False,False,False,False
257,HEDEGAARD,683 794,6 056,13 848,151556,58761,29767,14126,11189,14635,10283,False,True,False,True,True
258,Pharrell Williams,636 283,1 309,218 489,297614,117732,44530,20873,16558,21104,14668,False,True,True,True,True
259,Дайте танк (!),166 184,4 827,81 878,47221,22526,5147,3944,2980,3615,2793,True,False,False,True,True
260,RaiM,557 995,12 518,162 708,112192,38213,23967,13800,11768,10595,8333,False,False,False,True,True
261,Daft Punk,538 010,6 853,319 313,119299,50956,15246,7834,6204,7910,5390,False,True,True,True,True
